ds,y
2018-03-01 00:00:00,13286
2018-03-01 00:30:00,13050
2018-03-01 01:00:00,12532
2018-03-01 01:30:00,12133
2018-03-01 02:00:00,11809
2018-03-01 02:30:00,11812
2018-03-01 03:00:00,11619
2018-03-01 03:30:00,11451
2018-03-01 04:00:00,11347
2018-03-01 04:30:00,11308
2018-03-01 05:00:00,11407
2018-03-01 05:30:00,11768
2018-03-01 06:00:00,11982
2018-03-01 06:30:00,12514
2018-03-01 07:00:00,12793
2018-03-01 07:30:00,13254
2018-03-01 08:00:00,13678
2018-03-01 08:30:00,13960
2018-03-01 09:00:00,14259
2018-03-01 09:30:00,14453
2018-03-01 10:00:00,14630
2018-03-01 10:30:00,14786
2018-03-01 11:00:00,14869
2018-03-01 11:30:00,14788
2018-03-01 12:00:00,14883
2018-03-01 12:30:00,14812
2018-03-01 13:00:00,14654
2018-03-01 13:30:00,14520
2018-03-01 14:00:00,14302
2018-03-01 14:30:00,14262
2018-03-01 15:00:00,14002
2018-03-01 15:30:00,13733
2018-03-01 16:00:00,13690
2018-03-01 16:30:00,13619
2018-03-01 17:00:00,13658
2018-03-01 17:30:00,13640
2018-03-01 18:00:00,13737
2018-03-01 18:30:00,13967
2018-03-01 19:00:00,14480
2018-03-01 19:30:00,14605
2018-03-01 20:00:00,14491
2018-03-01 20:30:00,13905
2018-03-01 21:00:00,13525
2018-03-01 21:30:00,13063
2018-03-01 22:00:00,12698
2018-03-01 22:30:00,12743
2018-03-01 23:00:00,13151
2018-03-01 23:30:00,12795
2018-03-02 00:00:00,12462
2018-03-02 00:30:00,12175
2018-03-02 01:00:00,11748
2018-03-02 01:30:00,11283
2018-03-02 02:00:00,10934
2018-03-02 02:30:00,10871
2018-03-02 03:00:00,10724
2018-03-02 03:30:00,10532
2018-03-02 04:00:00,10422
2018-03-02 04:30:00,10444
2018-03-02 05:00:00,10458
2018-03-02 05:30:00,10646
2018-03-02 06:00:00,11016
2018-03-02 06:30:00,11512
2018-03-02 07:00:00,11833
2018-03-02 07:30:00,12376
2018-03-02 08:00:00,12777
2018-03-02 08:30:00,13153
2018-03-02 09:00:00,13359
2018-03-02 09:30:00,13448
2018-03-02 10:00:00,13563
2018-03-02 10:30:00,13682
2018-03-02 11:00:00,13771
2018-03-02 11:30:00,13713
2018-03-02 12:00:00,13846
2018-03-02 12:30:00,13704
2018-03-02 13:00:00,13484
2018-03-02 13:30:00,13178
2018-03-02 14:00:00,12869
2018-03-02 14:30:00,12890
2018-03-02 15:00:00,12549
2018-03-02 15:30:00,12291
2018-03-02 16:00:00,12084
2018-03-02 16:30:00,11958
2018-03-02 17:00:00,11855
2018-03-02 17:30:00,11847
2018-03-02 18:00:00,11914
2018-03-02 18:30:00,12084
2018-03-02 19:00:00,12692
2018-03-02 19:30:00,12872
2018-03-02 20:00:00,12802
2018-03-02 20:30:00,12439
2018-03-02 21:00:00,12046
2018-03-02 21:30:00,11656
2018-03-02 22:00:00,11237
2018-03-02 22:30:00,11387
2018-03-02 23:00:00,11915
2018-03-02 23:30:00,11610
2018-03-03 00:00:00,11344
2018-03-03 00:30:00,11157
2018-03-03 01:00:00,10711
2018-03-03 01:30:00,10387
2018-03-03 02:00:00,9951
2018-03-03 02:30:00,9931
2018-03-03 03:00:00,9657
2018-03-03 03:30:00,9558
2018-03-03 04:00:00,9409
2018-03-03 04:30:00,9386
2018-03-03 05:00:00,9427
2018-03-03 05:30:00,9549
2018-03-03 06:00:00,9651
2018-03-03 06:30:00,9783
2018-03-03 07:00:00,9870
2018-03-03 07:30:00,10163
2018-03-03 08:00:00,10220
2018-03-03 08:30:00,10451
2018-03-03 09:00:00,10877
2018-03-03 09:30:00,11167
2018-03-03 10:00:00,11430
2018-03-03 10:30:00,11525
2018-03-03 11:00:00,11635
2018-03-03 11:30:00,11702
2018-03-03 12:00:00,11738
2018-03-03 12:30:00,11771
2018-03-03 13:00:00,11595
2018-03-03 13:30:00,11427
2018-03-03 14:00:00,11120
2018-03-03 14:30:00,11039
2018-03-03 15:00:00,10714
2018-03-03 15:30:00,10355
2018-03-03 16:00:00,10112
2018-03-03 16:30:00,10083
2018-03-03 17:00:00,10128
2018-03-03 17:30:00,10232
2018-03-03 18:00:00,10290
2018-03-03 18:30:00,10512
2018-03-03 19:00:00,11099
2018-03-03 19:30:00,11370
2018-03-03 20:00:00,11311
2018-03-03 20:30:00,11068
2018-03-03 21:00:00,10765
2018-03-03 21:30:00,10580
2018-03-03 22:00:00,10353
2018-03-03 22:30:00,10415
2018-03-03 23:00:00,10992
2018-03-03 23:30:00,10707
2018-03-04 00:00:00,10455
2018-03-04 00:30:00,10346
2018-03-04 01:00:00,9953
2018-03-04 01:30:00,9581
2018-03-04 02:00:00,9305
2018-03-04 02:30:00,9121
2018-03-04 03:00:00,8867
2018-03-04 03:30:00,8760
2018-03-04 04:00:00,8586
2018-03-04 04:30:00,8556
2018-03-04 05:00:00,8550
2018-03-04 05:30:00,8689
2018-03-04 06:00:00,8693
2018-03-04 06:30:00,8751
2018-03-04 07:00:00,8759
2018-03-04 07:30:00,8816
2018-03-04 08:00:00,8893
2018-03-04 08:30:00,9200
2018-03-04 09:00:00,9412
2018-03-04 09:30:00,9798
2018-03-04 10:00:00,10145
2018-03-04 10:30:00,10359
2018-03-04 11:00:00,10669
2018-03-04 11:30:00,10853
2018-03-04 12:00:00,11117
2018-03-04 12:30:00,11218
2018-03-04 13:00:00,11183
2018-03-04 13:30:00,10962
